24.0%, 55+ Ax KTs+ KTo+ QJs QTo+
11.3%, 55+ ATs+ AJo+ KTs+ KQo QTs+ JTs T9s
12.3%, 44+ A9s+ AJo+ KTs+ KQo QTs+ JTs T9s
12.8%, 44+ A9s+ AJo+ KTs+ KQo QTs+ J9s+ T9s
15.3%, 22+ A7s+ ATo+ K9s+ KQo QTs+ J9s+ T9s
18.0%, 22+ A4s+ A9o+ K9s+ KQo Q9s+ J9s+ T9s 98s
8.3%, 66+ ATs+ AJo+ KQs
9.2%, 66+ A9s+ AJo+ KQs
10.2%, 55+ A9s+ ATo+ KQs
11.4%, 55+ A8s+ ATo+ KJs+ KQo
12.9%, 55+ A7s+ A9o+ KJs+ KQo QJs
27.5%, 44+ Ax KTs+ KTo+ QJs QTo+ JTo
13.4%, 44+ A8s+ ATo+ KTs+ KQo QTs+ JTs T9s
14.7%, 44+ A7s+ A5s ATo+ K9s+ KQo QTs+ J9s+ T9s
17.8%, 22+ A4s+ A9o+ K9s+ KJo+ QTs+ J9s+ T9s 98s
22.3%, 22+ A2s+ A7o+ K9s+ KJo+ Q9s+ J9s+ T8s+ 98s 87s
11.4%, 55+ A9s+ ATo+ KJs+ KQo
12.4%, 44+ A8s+ ATo+ KTs+ KQo QJs
14.0%, 44+ A7s+ A5s A9o+ KTs+ KQo QJs
16.2%, 44+ A3s+ A8o+ KTs+ KJo+ QJs
32.2%, 33+ Ax K9s+ K8o+ Q9s+ Q9o+ J9s+ J9o+
16.7%, 33+ A4s+ A9o+ KTs+ KQo QTs+ J9s+ T9s
21.2%, 22+ A2s+ A7o+ K9s+ KJo+ Q9s+ J9s+ T8s+ 98s
25.9%, 22+ A2s+ A4o+ K9s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s 87s
14.2%, 33+ A7s+ A5s A9o+ KTs+ KQo QJs
16.8%, 33+ A4s+ A8o+ KTs+ KJo+ QTs+
19.3%, 33+ A2s+ A7o+ KTs+ KJo+ QTs+
